title,experience,company_name,when_scraped,employment_type,key_skills,salary_max,salary_min
Стажер в Управление Информационной Безопасности,[0],Лаборатория Касперского,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
C#/.NET backend разработчик,"[3, 6]",Skynet Trading,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'C#', '.NET Framework', 'REST', 'Websockets', 'AWS']",500000.0,
ML-инженер,[0],Rutube,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Стажер ML-исследователь,[0],Samokat.tech,15-01-2024 06:19:44,"Стажировка, удаленная работа",[],,
WEB-разработчик,"[1, 3]",ООО Прогматик Лаб,15-01-2024 06:19:44,"Полная занятость, полный день","['JavaScript', 'React.js', 'HTML5', 'CSS', 'Python', 'Bash', 'Go']",,100000.0
"Backend Developer (Python, IAM)","[1, 3]",EdgeЦентр,15-01-2024 06:19:44,"Полная занятость, гибкий график","['Python', 'Django', 'Celery', 'RabbitMQ', 'PostgreSQL', 'Docker']",,
Младший разработчик/Разработчик (backend Python),"[1, 3]",ПИК,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Менеджер разметки данных,"[1, 3]",ООО Dbrain,15-01-2024 06:19:44,"Полная занятость, полный день",[],,120000.0
Data engineer (junior),[0],АО ОМК ИТ,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Тестировщик ПО (junior),"[1, 3]",Алгоритмика,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Английский язык', 'Python', 'Функциональное тестирование', 'Тестирование', 'Обучение и развитие', 'Ручное тестирование']",40000.0,40000.0
IT директор,[6],"Hi, Rockits!",15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'Управление процессами', 'Лидерство', 'Управление бюджетом', 'Мотивация персонала', 'Управление эффективностью', 'Стратегическое мышление', 'Стратегическое планирование', 'Анализ бизнес показателей', 'Управленческие навыки', 'PHP', 'Node.js', 'E-Commerce', 'Маркетплейсы', 'Командообразование', 'Деловая коммуникация', 'Team management', 'Организаторские навыки']",,
Senior Frontend Developer,[6],Podscribe,15-01-2024 06:19:44,"Полная занятость, полный день","['Английский язык', 'AWS', 'React', 'Typescript', 'HTML5', 'CSS3']",626835.0,358191.0
Аналитик данных,"[1, 3]",Miles&Miles,15-01-2024 06:19:44,"Полная занятость, полный день","['Data Analysis', 'SQL']",300000.0,
Аналитик (удаленная работа),"[3, 6]",ЗАО КонсультантПлюс,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],115000.0,92000.0
Стажер-разработчик Python (финтех),[0],ООО Простые Решения,15-01-2024 06:19:44,"Стажировка, удаленная работа","['Python', 'PostgreSQL', 'Git', 'Django Framework', 'React']",,
Python разработчик (Fast API/ Django),"[1, 3]",ООО Калина,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Django Framework', 'Fast API', 'Kafka', 'RabbitMQ', 'Celery']",,
Python (Django) Разработчик,"[1, 3]",ИП Лихопой Илья Васильевич,15-01-2024 06:19:44,"Полная занятость, полный день","['Тестирование', 'Python', 'Функциональное тестирование', 'Аналитическое мышление', 'Тестирование пользовательского интерфейса', 'Автоматизация тестирования', 'SQL']",250000.0,100000.0
Стажер в информационную безопасность,[0],ПАО МГТС,15-01-2024 06:19:44,"Стажировка, полный день","['Python', 'Bash', 'PowerShell', 'Технические средства информационной защиты', 'Информационная безопасность']",40000.0,
Backend разработчик (Python DRF),"[1, 3]",idaproject,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'Git', 'PostgreSQL', 'Django Framework', 'Linux']",,
Стажёр / Junior project manager,[0],Caltat,15-01-2024 06:19:44,"Стажировка, полный день","['Atlassian Jira', 'Аналитическое мышление', 'Python', 'SQL']",,
QA-engineer,"[1, 3]",YCLIENTS LLC,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Тестирование']",,
Data Engineer (DWH),"[1, 3]",AliExpress,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'SQL', 'Spark', 'Hadoop']",,
Руководитель IT-департамента,"[3, 6]",Формика,15-01-2024 06:19:44,"Полная занятость, полный день","['Информационные технологии', 'Разработка ПО', 'Управление командой', 'Python', 'REST', 'API', 'JavaScript']",,
Аналитик данных (SQL),"[1, 3]",GGsel,15-01-2024 06:19:44,"Полная занятость, полный день",[],,30000.0
Тестировщик (QA Engineer),"[1, 3]",ООО ПРОФ-ИТ ГРУПП,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
Frontend-разработчик,"[1, 3]",ООО Инсейлс Рус,15-01-2024 06:19:44,"Полная занятость, полный день",[],,
In-Store Specialist / Специалист по эффективности полевых сил,"[1, 3]","«Procter & Gamble», Опытный специалист",15-01-2024 06:19:44,"Полная занятость, полный день",['Английский\xa0— B1 — Средний'],,150000.0
Системный администратор / Специалист технической поддержки,"[1, 3]",Skynet Trading,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['SQL', 'Linux', 'DevOps', 'Техническая поддержка']",150000.0,
Программист Python,"[1, 3]",ООО Октопустех,15-01-2024 06:19:44,"Полная занятость, полный день","['Python', 'PostgreSQL', 'RabbitMQ', 'Базы данных', 'Unit Testing']",,
Стажер дата-аналитик,[0],Tele2,15-01-2024 06:19:44,"Стажировка, гибкий график","['SQL', 'Python']",,
Python Junior/Middle,"[1, 3]",Touch the Dream,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],250000.0,
Программист Python (разработка тг-бота),"[1, 3]",ИП Скворцов Сергей Андреевич,15-01-2024 06:19:44,"Частичная занятость, удаленная работа",['Python'],70000.0,30000.0
Python разработчик,"[1, 3]",ООО СберМедИИ,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python3', 'PostgreSQL', 'Docker', 'Kubernetes', 'Работа с базами данных']",,
Программист Python,"[1, 3]",ООО Цифровые привычки,15-01-2024 06:19:44,"Полная занятость, удаленная работа",[],,
Разработчик Python,"[1, 3]",Корпорация ЭЛАР,15-01-2024 06:19:44,"Полная занятость, удаленная работа","['Python', 'PostgreSQL', 'Docker', 'Flask', 'Английский\xa0— A1 — Начальный']",,
Инженер по тестированию / QA Engineer,"[1, 3]",DSSL,15-01-2024 06:19:44,"Полная занятость, полный день","['Разработка технических заданий', 'Функциональное тестирование', 'Test case', 'Тестирование', 'QA', 'Python', 'Linux']",,
"Frontend-Developer / Фронтенд-Разработчик (React, TypeScript)",[0],ООО НТ Прогресс,15-01-2024 06:19:44,"Полная занятость, полный день","['Redux', 'React', 'JavaScript', 'TypeScript']",,
Младший аналитик данных,[0],Mediascope,15-01-2024 06:19:44,"Полная занятость, полный день","['SQL', 'Разработка технических заданий', 'Математическая статистика', 'Сбор и анализ информации', 'Аналитическое мышление', 'Анализ данных', 'Работа с большим объемом информации', 'Аналитические исследования', 'Python']",,
Экономист-аналитик,[0],Центральный банк Российской Федерации,15-01-2024 06:19:44,"Полная занятость, полный день","['Аналитические исследования', 'Статистический анализ', 'Анализ рынка', 'Статистика', 'MS Excel', 'SQL', 'написание аналитических текстов']",,
